iter	Passed	Remaining
817	1102	245
818	1104	244
819	1105	242
820	1106	241
821	1108	239
822	1109	238
823	1110	237
824	1112	235
825	1113	234
826	1114	233
827	1116	231
828	1117	230
829	1118	229
830	1120	227
831	1121	226
832	1122	225
833	1124	223
834	1125	222
835	1126	221
836	1127	219
837	1129	218
838	1130	216
839	1132	215
840	1133	214
841	1134	212
842	1135	211
843	1137	210
844	1138	208
845	1139	207
846	1140	206
847	1142	204
848	1143	203
849	1145	202
850	1146	200
851	1147	199
852	1148	198
853	1150	196
854	1151	195
855	1152	193
856	1154	192
857	1155	191
858	1156	189
859	1158	188
860	1159	187
861	1160	185
862	1162	184
863	1163	183
864	1164	181
865	1166	180
866	1167	179
867	1168	177
868	1169	176
869	1171	175
870	1172	173
871	1173	172
872	1175	170
873	1176	169
874	1177	168
875	1179	166
876	1180	165
877	1181	164
878	1183	162
879	1184	161
880	1185	160
881	1186	158
882	1188	157
883	1191	156
884	1193	155
885	1195	153
886	1196	152
887	1197	151
888	1199	149
889	1200	148
890	1201	147
891	1203	145
892	1204	144
893	1205	142
894	1207	141
895	1208	140
896	1209	138
897	1210	137
898	1212	136
899	1213	134
900	1214	133
901	1216	132
902	1217	130
903	1218	129
904	1220	128
905	1221	126
906	1222	125
907	1224	124
908	1225	122
909	1226	121
910	1228	119
911	1229	118
912	1231	117
913	1232	115
914	1233	114
915	1235	113
916	1236	111
917	1237	110
918	1239	109
919	1240	107
920	1241	106
921	1243	105
922	1244	103
923	1245	102
924	1247	101
925	1248	99
926	1249	98
927	1251	97
928	1252	95
929	1253	94
930	1255	93
931	1256	91
932	1257	90
933	1258	88
934	1260	87
935	1261	86
936	1262	84
937	1264	83
938	1265	82
939	1266	80
940	1268	79
941	1269	78
942	1270	76
943	1272	75
944	1273	74
945	1274	72
946	1276	71
947	1277	70
948	1278	68
949	1280	67
950	1281	66
951	1283	64
952	1284	63
953	1285	61
954	1287	60
955	1288	59
956	1289	57
957	1290	56
958	1292	55
959	1293	53
960	1294	52
961	1296	51
962	1297	49
963	1298	48
964	1299	47
965	1301	45
966	1302	44
967	1303	43
968	1305	41
969	1306	40
970	1307	39
971	1309	37
972	1310	36
973	1311	35
974	1313	33
975	1314	32
976	1315	30
977	1317	29
978	1318	28
979	1319	26
980	1321	25
981	1322	24
982	1323	22
983	1325	21
984	1326	20
985	1327	18
986	1329	17
987	1330	16
988	1331	14
989	1333	13
990	1334	12
991	1335	10
992	1336	9
993	1338	8
994	1339	6
995	1340	5
996	1342	4
997	1343	2
998	1344	1
999	1346	0
